rep_index,avg_abduction_left,avg_abduction_right,torso_tilt_left,torso_tilt_right,elbow_drift_left,elbow_drift_right,wrist_shoulder_left,wrist_shoulder_right,form_score,comments
1,24.377666979963657,18.91820905637926,8.601384858714896,5.084960604721819,29.0,17.0,158.0,149.0,Needs Improvement,Wrist not aligned with shoulder
2,17.969166082946025,19.895270723110613,9.42470187232026,6.467458927791517,17.0,28.0,218.0,229.0,Needs Improvement,Wrist not aligned with shoulder
3,17.582568552042325,19.854060045502184,8.3929251873925,7.009384256621249,19.0,27.0,221.0,227.0,Needs Improvement,Wrist not aligned with shoulder
4,16.564131143478832,19.951001652910005,8.325650330426836,6.952957468173915,17.0,27.0,224.0,230.0,Needs Improvement,Wrist not aligned with shoulder
5,18.202157942212878,19.91613983214564,8.325650330426836,7.037940763184669,20.0,28.0,221.0,230.0,Needs Improvement,Wrist not aligned with shoulder
6,16.38227203539258,19.816790488458707,7.441405489743715,6.805580441864781,17.0,27.0,221.0,224.0,Needs Improvement,Wrist not aligned with shoulder
7,15.44193567514157,19.838143389520674,8.162974283718007,6.7779487341990485,15.0,26.0,223.0,229.0,Needs Improvement,Wrist not aligned with shoulder
