rep_index,arm_side,start_frame,end_frame,duration_frames,avg_angle,min_angle,max_angle,max_elbow_drift,max_torso_tilt,max_wrist_shoulder_diff,elbow_drift_flag,torso_tilt_flag,wrist_align_flag,quality_note
1,left,393,399,6,100.42279312998146,50.995709229485,135.8401987142055,41,7.561428427666961,196,1,0,1,shallow_depth
1,right,437,449,12,69.86733784318913,28.42438133242875,135.72625845511163,28,9.130176482278692,219,0,0,1,good_depth
2,left,492,506,14,77.38053422558137,38.473836647750595,139.28226052211718,48,7.577427089207823,202,1,0,1,shallow_depth
2,right,487,506,19,56.79557771676656,24.28836246336496,135.21033533960963,29,8.91984378366228,202,0,0,1,good_depth
3,right,587,604,17,57.98760423613393,23.22108746344767,140.25618012930528,30,10.052544827076881,202,0,0,1,good_depth
4,right,1128,1135,7,82.47288036927337,42.573213209229046,132.65429845854038,6,10.375844920051051,218,0,0,1,shallow_depth
3,left,1169,1180,11,83.3272881607089,33.5146499884208,137.4876508936907,50,7.091273255327595,187,1,0,1,shallow_depth
5,right,1168,1180,12,70.69797961439544,26.141365697511333,137.57195798226257,23,8.397302586689744,204,0,0,1,good_depth
6,right,1207,1221,14,57.68794012024447,23.199175889382722,135.07888917605305,34,9.462322208025617,204,0,0,1,good_depth
4,left,1209,1223,14,65.71730410088867,22.46977873275319,137.72019955136523,47,7.37046800317871,186,1,0,1,good_depth
7,right,1247,1261,14,61.128725020379754,18.311969327660805,140.04226096235377,26,8.623691954925961,205,0,0,1,good_depth
8,right,1284,1299,15,59.46913483704351,17.57222853260138,141.10145471862114,32,8.543918910799041,225,0,0,1,good_depth
5,left,1623,1651,28,62.188717809411386,12.137936393198148,139.66600489865343,55,8.16847862404549,152,1,0,1,good_depth
9,right,1617,1655,38,75.10085592910654,30.327920708491632,138.34333344305875,44,8.888942478424527,210,1,0,1,shallow_depth
6,left,1703,1716,13,87.69560078140522,42.616849935039546,138.1193909258959,52,7.091273255327595,156,1,0,1,shallow_depth
10,right,1702,1721,19,79.10745950723249,35.150787699557235,141.98970604801508,38,9.1966558916289,207,0,0,1,shallow_depth
7,left,1767,1785,18,83.02983079358326,35.544331511971166,141.4968706390623,51,7.503087391049605,174,1,0,1,shallow_depth
11,right,1758,1786,28,47.71600882346444,14.650198271224832,138.5500038966176,35,9.283552805261346,188,0,0,1,good_depth
8,left,1826,1846,20,88.19268059848955,25.431916833666037,141.18450881532564,50,7.777637890129327,167,1,0,1,good_depth
12,right,1822,1847,25,61.01796539872995,19.236485148602924,137.46214060589546,36,8.436904131405909,190,0,0,1,good_depth
9,left,1885,1897,12,84.04691335836281,48.96636454254086,138.5096297898586,49,7.576154895689079,189,1,0,1,shallow_depth
13,right,1878,1897,19,52.051456402141845,19.92047369096796,135.89990587412157,39,8.054414446381752,204,0,0,1,good_depth
